player,team,gameInfo,salary,value,completionsAttempts,passingYards,passingTouchdowns,interceptionsThrown,rushingAttempts,rushingYards,rushingTouchdowns,receptions,targets,receivingYards,receivingTouchdowns,fantasy,positionRank,overallRank,opponentDefensiveRank
Josh Downs,Indianapolis Colts,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,68.4,107.17,692.89,4.32,129.41,51,127,
Xavier Legette,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,4.6,23.15,0.17,61.9,108.29,697.12,3.37,123.88,52,131,
Marquise Brown,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,56.8,98.75,659.36,4.96,123.32,53,132,
Ricky Pearsall,San Francisco 49ers,,N/A,N/A,0.0/0.0,0,0,0,9.67,49.18,0.36,46.92,80.03,617.46,4.47,118.96,54,135,
Cedric Tillman,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,54.54,88.69,690.5,3.3,115.78,55,138,
Rashod Bateman,Baltimore Ravens,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,44.61,72.95,631.76,4.88,114.76,56,140,
Emeka Egbuka,Tampa Bay Buccaneers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,50.53,76.57,589.85,4.32,109.91,57,142,
Adam Thielen,Carolina Panthers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,54.84,83.92,608.91,3.35,108.07,58,144,
Ray-Ray McCloud,Atlanta Falcons,,N/A,N/A,0.0/0.0,0,0,0,5.11,26.99,0.19,52.1,81.97,607.76,3.57,107.23,59,146,
Diontae Johnson,Cleveland Browns,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,47.05,82.78,645.91,2.78,104.46,60,149,
Wan'Dale Robinson,New York Giants,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,61.51,98.28,549.13,3.05,104.31,61,151,
Christian Kirk,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,46.59,75.61,604.08,3.4,103.76,62,153,
Luther Burden III,Chicago Bears,,N/A,N/A,0.0/0.0,0,0,0,4.57,23.2,0.19,46.26,78.86,559.61,3.21,101.47,63,154,
Marquez Valdes-Scantling,Seattle Seahawks,,N/A,N/A,0.0/0.0,0,0,0,7.01,35.79,0.27,35.53,73.98,555.42,3.4,98.91,64,155,
Calvin Austin III,Pittsburgh Steelers,,N/A,N/A,0.0/0.0,0,0,0,4.97,25.36,0.22,41.6,71.12,538.5,3.37,98.05,65,159,
Keenan Allen,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,46.6,73.75,513.42,3.79,97.04,66,161,
Tre Harris,Los Angeles Chargers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,40.42,68.08,523.42,3.64,94.39,67,164,
Romeo Doubs,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,39.12,65.91,480.67,4.1,91.79,68,168,
Josh Reynolds,New York Jets,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,41.55,69.57,520.42,3.14,91.32,69,169,
Jayden Higgins,Houston Texans,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,41.81,69.82,505.89,3.25,90.99,70,171,
Dontayvion Wicks,Green Bay Packers,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,37.48,65.91,474.77,4.22,90.76,71,172,
JuJu Smith-Schuster,Kansas City Chiefs,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,44.41,65.1,500.21,3.26,90.45,72,174,
Kendrick Bourne,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,43.04,64.02,507.1,2.61,87.07,73,177,
Tutu Atwell,Los Angeles Rams,,N/A,N/A,0.0/0.0,0,0,0,4.53,23,0.18,39.91,64.12,474.06,2.6,86.16,74,178,
Demario Douglas,New England Patriots,,N/A,N/A,0.0/0.0,0,0,0,0,0,0,44.54,69.37,483.46,2.58,85.42,75,180,
